horse_idx,layer_idx,sawyer-right_j0,sawyer-right_j1,sawyer-right_j2,sawyer-right_j3,sawyer-right_j4,sawyer-right_j5,sawyer-right_j6
11,134,0.6279254021244345,0.4274543125355178,-1.0354255888922026,1.9348134371109924,-2.5091710453488205,1.519531569576346,-0.11626193854694435
11,135,0.6167505985695543,0.42829120139027443,-1.0358937004242472,1.93466056511728,-2.5118989030002754,1.530062874763242,-0.11538328129582373
11,136,0.6055474529335364,0.4291775815526018,-1.0364580321094967,1.9343967192597797,-2.514612860334159,1.5404951245432958,-0.11450383225565934
11,137,0.5943182191722838,0.4301133192609553,-1.0371185511829772,1.934022128095709,-2.5173119583052785,1.550826390531706,-0.11362252635942066
11,138,0.583065027207723,0.4310983278731536,-1.0378752550334347,1.9335369470791626,-2.519995184854858,1.5610548314678114,-0.1127383589415354
11,139,0.5717899344365759,0.4321324625906867,-1.038728149430563,1.9329414330039847,-2.5226614321319274,1.571178729099786,-0.1118502046635723
11,140,0.5604950542943028,0.4332155407386296,-1.0396772143376274,1.9322359267944114,-2.525309458307653,1.5811963166604666,-0.11095684391833159
11,141,0.5491824474104483,0.43434756783652556,-1.0407224108450803,1.9314206628307242,-2.52793806398059,1.5911058497787434,-0.11005719745049806
11,142,0.5378540466734825,0.4355284042473743,-1.0418637360496623,1.9304959245713385,-2.5305458943369916,1.6009057135728106,-0.10915006971032318
11,143,0.5265117713865446,0.436757978969711,-1.0431011554628635,1.929462040122895,-2.5331315768499123,1.6105943398309421,-0.10823425191929549
11,144,0.5151575055968758,0.4380362011353514,-1.0444346301438299,1.9283193423133633,-2.5356936455649817,1.6201701823530408,-0.10730851920714499
11,145,0.50379309918888,0.43936295143201837,-1.0458641103051962,1.9270681529627354,-2.538230544718866,1.6296316966723994,-0.10637165550368285
11,146,0.49242035725586186,0.44073814124712624,-1.0473895211315953,1.9257088086605003,-2.5407407085049645,1.6389774021199595,-0.1054224610395445
11,147,0.48189963850410467,0.4421682636799814,-1.0487551216406068,1.923862383299193,-2.54308440648679,1.6467086720787638,-0.10541237646416228
11,148,0.470615522364952,0.44329833312550865,-1.0503391059336808,1.922495279337796,-2.545704688329947,1.655985605676423,-0.10434267828087397
11,149,0.4585143654747407,0.444508085279839,-1.0521853640537462,1.9209952287111887,-2.548385844420965,1.666083053976789,-0.10297124733324779
11,150,0.4476467048900207,0.4461346523072659,-1.0538913531631136,1.9189934974491127,-2.550846996146013,1.674040744515607,-0.10286606914339536
11,151,0.4360733548381693,0.4472631176710064,-1.0557794258011788,1.9171486403141345,-2.5532846093789416,1.683180182074102,-0.1015832998506135
11,152,0.4243652029129842,0.4488802376480888,-1.0579145930706466,1.9154231749885826,-2.5558361337913875,1.69243816491302,-0.10034976732360773
11,153,0.41361786818744534,0.4506140456924397,-1.0598851520301693,1.9131432801288861,-2.558157723839716,1.6999454295719367,-0.10017014238784328
11,154,0.40205377870551745,0.45188811069208223,-1.062026715424088,1.9109204481976867,-2.56048929868761,1.7086572396695165,-0.09884142466336357
11,155,0.39034844741124963,0.4536430087746506,-1.0644573818273422,1.908856304910777,-2.5629136835657995,1.7175290334268445,-0.09754419218343985
11,156,0.3795399337695476,0.45549504336140156,-1.0667452066849246,1.9063334934210516,-2.56515418263571,1.7248104709126486,-0.09727332616047463
11,157,0.3680268822946692,0.45693837582854263,-1.0691332615821796,1.9037701317619011,-2.5673603281417674,1.7330846136359706,-0.09589078307114739
11,158,0.3563849097794087,0.4588317518027765,-1.0718407351779273,1.9013637995062531,-2.56961810618739,1.7415029553996138,-0.09451786491816205
11,159,0.3455343204280793,0.46078544830167945,-1.0744530712763662,1.8985927828492786,-2.5717385515256073,1.7485129780781044,-0.0941497047253831
11,160,0.33407293303425695,0.46240435189088147,-1.0770891205309057,1.895692587853039,-2.5738169274659337,1.7563615685909224,-0.09270904758745156
11,161,0.32248689033651984,0.46444292311394847,-1.0800724171240923,1.8929493283684102,-2.575907346429401,1.7643477489656838,-0.09125140210064325
11,162,0.3110544609615625,0.4666601913205064,-1.0831717192707844,1.8900093681281933,-2.5778037825159457,1.7719337302911518,-0.08987128802827715
11,163,0.29973232311943215,0.4689084789320209,-1.0863467205947426,1.886845713838916,-2.5795564326687406,1.7791516577948943,-0.08850822582175794
11,164,0.2884287025424744,0.47118261805271827,-1.0896216823839528,1.8835704943170626,-2.581257134845194,1.7862056244158082,-0.08712283701800026
